source_id,title,revision,group_id,source_url
hathitrust-community-charity,HathiTrust Community and Charity Cookbooks collection,rev4,community-church-cookbooks,https://babel.hathitrust.org/cgi/mb?a=listis;c=565414806
hathitrust-cookbooks,HathiTrust Cookbooks collection,rev4,community-church-cookbooks,https://babel.hathitrust.org/cgi/mb?a=listis;c=1972411407
usda-farmers-bulletins,USDA Farmers' Bulletins,rev4,usda-extension-publications,https://archive.org/details/farmersbulletins42usderich
extension-pastry-bulletins,State agricultural extension pastry bulletins,rev4,usda-extension-publications,
