issue_id,source_group_id,revision,title,creator,year,date,repository,source_url,status
bostoncookingsch19hill_1,american-cookery-magazine,rev2,The Boston Cooking School magazine of culinary science and domestic economics,"['Hill, Janet McKenzie, 1852-1933, ed', 'Boston Cooking School (Boston, Mass.)']",1896,1896-01-01T00:00:00Z,Internet Archive,https://archive.org/details/bostoncookingsch19hill_1,issue_candidate
bostoncookingsc00massgoog,american-cookery-magazine,rev2,The Boston Cooking School magazine of culinary science and domestic economics,"Mass Boston Cooking School (Boston, Boston Cooking School (Boston , Mass.)",1896,1896-01-01T00:00:00Z,Internet Archive,https://archive.org/details/bostoncookingsc00massgoog,issue_candidate
bostoncookingsch19hill_10,american-cookery-magazine,rev2,The Boston Cooking School magazine of culinary science and domestic economics,"['Hill, Janet McKenzie, 1852-1933, ed', 'Boston Cooking School (Boston, Mass.)']",1896,1896-01-01T00:00:00Z,Internet Archive,https://archive.org/details/bostoncookingsch19hill_10,issue_candidate
bostoncookingsch19hill_2,american-cookery-magazine,rev2,The Boston Cooking School magazine of culinary science and domestic economics,"['Hill, Janet McKenzie, 1852-1933, ed', 'Boston Cooking School (Boston, Mass.)']",1896,1896-01-01T00:00:00Z,Internet Archive,https://archive.org/details/bostoncookingsch19hill_2,issue_candidate
bostoncookingsch19hill_0,american-cookery-magazine,rev2,The Boston Cooking School magazine of culinary science and domestic economics,"['Hill, Janet McKenzie, 1852-1933, ed', 'Boston Cooking School (Boston, Mass.)']",1896,1896-01-01T00:00:00Z,Internet Archive,https://archive.org/details/bostoncookingsch19hill_0,issue_candidate
bostoncookingsch19hill_6,american-cookery-magazine,rev2,The Boston Cooking School magazine of culinary science and domestic economics,"['Hill, Janet McKenzie, 1852-1933, ed', 'Boston Cooking School (Boston, Mass.)']",1896,1896-01-01T00:00:00Z,Internet Archive,https://archive.org/details/bostoncookingsch19hill_6,issue_candidate
bostoncookingsch19hill_3,american-cookery-magazine,rev2,The Boston Cooking School magazine of culinary science and domestic economics,"['Hill, Janet McKenzie, 1852-1933, ed', 'Boston Cooking School (Boston, Mass.)']",1896,1896-01-01T00:00:00Z,Internet Archive,https://archive.org/details/bostoncookingsch19hill_3,issue_candidate
bostoncookingsch19hill_12,american-cookery-magazine,rev2,The Boston Cooking School magazine of culinary science and domestic economics,"['Hill, Janet McKenzie, 1852-1933, ed', 'Boston Cooking School (Boston, Mass.)']",1896,1896-01-01T00:00:00Z,Internet Archive,https://archive.org/details/bostoncookingsch19hill_12,issue_candidate
bostoncookingsch19hill_8,american-cookery-magazine,rev2,The Boston Cooking School magazine of culinary science and domestic economics,"['Hill, Janet McKenzie, 1852-1933, ed', 'Boston Cooking School (Boston, Mass.)']",1896,1896-01-01T00:00:00Z,Internet Archive,https://archive.org/details/bostoncookingsch19hill_8,issue_candidate
bostoncookingsch19hill,american-cookery-magazine,rev2,The Boston Cooking School magazine of culinary science and domestic economics,"['Hill, Janet McKenzie, 1852-1933, ed', 'Boston Cooking School (Boston, Mass.)']",1896,1896-01-01T00:00:00Z,Internet Archive,https://archive.org/details/bostoncookingsch19hill,issue_candidate
bostoncookingsch19hill_4,american-cookery-magazine,rev2,The Boston Cooking School magazine of culinary science and domestic economics,"['Hill, Janet McKenzie, 1852-1933, ed', 'Boston Cooking School (Boston, Mass.)']",1896,1896-01-01T00:00:00Z,Internet Archive,https://archive.org/details/bostoncookingsch19hill_4,issue_candidate
bostoncookingsch19hill_5,american-cookery-magazine,rev2,The Boston Cooking School magazine of culinary science and domestic economics,"['Hill, Janet McKenzie, 1852-1933, ed', 'Boston Cooking School (Boston, Mass.)']",1896,1896-01-01T00:00:00Z,Internet Archive,https://archive.org/details/bostoncookingsch19hill_5,issue_candidate
bostoncookingsc01massgoog,american-cookery-magazine,rev2,The Boston Cooking School magazine of culinary science and domestic economics,"Mass Boston Cooking School (Boston, Boston Cooking School (Boston , Mass.)",1896,1896-01-01T00:00:00Z,Internet Archive,https://archive.org/details/bostoncookingsc01massgoog,issue_candidate
bub_gb_PVkBAAAAYAAJ,american-cookery-magazine,rev2,The Boston Cooking School magazine of culinary science and domestic economics,"['Hill, Janet McKenzie, 1852-1933', 'Campbell, Helen, 1839-1918, contributor', 'Chambers, Mary D. (Mary Davoren), 1864- contributor', 'Chandler, Julia Davis, contributor', 'Doughty, Annie Pauline, contributor', 'Hill, Janet McKenzie, 1852-1933, contributor', 'Johnson, Helen Louise, contributor', 'Jones, Mary Chandler, b. 1871, contributor', 'Knox, Jessie Juliet, contributor', 'Meyer, Adolphe, 1868- contributor', 'Morse, Minnie Genevieve, contributor', 'Neil, Marion Harris, contributor', 'Northend, Mary Harrod, 1850- contributor', 'Norton, Jeanette Young, contributor', 'Todd, Mabel Loomis, 1856-1932, contributor', 'Vrooman, Amne L., contributor', 'Wade, Mary L., contributor', 'Wells, Kate Gannett, 1838-1911, contributor', 'White Sally Joy, contributor', 'Williams, Jessamine Chapman, contributor', 'Wilson, Eleanor Robbins, contributor', 'Boston Cooking School (Boston, Mass.)']",1896,1896-01-01T00:00:00Z,Internet Archive,https://archive.org/details/bub_gb_PVkBAAAAYAAJ,issue_candidate
bostoncookingsch19hill_9,american-cookery-magazine,rev2,The Boston Cooking School magazine of culinary science and domestic economics,"['Hill, Janet McKenzie, 1852-1933, ed', 'Boston Cooking School (Boston, Mass.)']",1896,1896-01-01T00:00:00Z,Internet Archive,https://archive.org/details/bostoncookingsch19hill_9,issue_candidate
bostoncookingsc02massgoog,american-cookery-magazine,rev2,The Boston Cooking School magazine of culinary science and domestic economics,"Mass Boston Cooking School (Boston, Boston Cooking School (Boston , Mass.)",1896,1896-01-01T00:00:00Z,Internet Archive,https://archive.org/details/bostoncookingsc02massgoog,issue_candidate
bostoncookingsch19hill_7,american-cookery-magazine,rev2,The Boston Cooking School magazine of culinary science and domestic economics,"['Hill, Janet McKenzie, 1852-1933, ed', 'Boston Cooking School (Boston, Mass.)']",1896,1896-01-01T00:00:00Z,Internet Archive,https://archive.org/details/bostoncookingsch19hill_7,issue_candidate
cu31924001447956,american-cookery-magazine,rev2,"Mrs. Seely's cook book; a manual of French and American cookery, with chapters on domestic servants, their rights and duties and many other details of household management","['Seely, Lida', 'Herndon, James B., Jr. fmo', 'Herndon/Vehling Collection. fmo']",1902,1902-01-01T00:00:00Z,Internet Archive,https://archive.org/details/cu31924001447956,issue_candidate
mrsseelyscookboo00seel,american-cookery-magazine,rev2,"Mrs. Seely's cook book; a manual of French and American cookery, with chapters on domestic servants, their rights and duties and many other details of household management","Seely, Lida, 1854-1928",1902,1902-01-01T00:00:00Z,Internet Archive,https://archive.org/details/mrsseelyscookboo00seel,issue_candidate
federationcookbo00turniala,american-cookery-magazine,rev2,"The Federation cook book; a collection of tested recipes, contributed by the colored women of the State of California","Turner, Bertha L",1910,1910-01-01T00:00:00Z,Internet Archive,https://archive.org/details/federationcookbo00turniala,issue_candidate
americancookery19unse_5,american-cookery-magazine,rev2,American cookery,,1914,1914-01-01T00:00:00Z,Internet Archive,https://archive.org/details/americancookery19unse_5,issue_candidate
americancookery19unse,american-cookery-magazine,rev2,American cookery,,1914,1914-01-01T00:00:00Z,Internet Archive,https://archive.org/details/americancookery19unse,issue_candidate
americancookery19unse_0,american-cookery-magazine,rev2,American cookery,,1914,1914-01-01T00:00:00Z,Internet Archive,https://archive.org/details/americancookery19unse_0,issue_candidate
americancookery19unse_4,american-cookery-magazine,rev2,American cookery,,1914,1914-01-01T00:00:00Z,Internet Archive,https://archive.org/details/americancookery19unse_4,issue_candidate
americancookery19unse_7,american-cookery-magazine,rev2,American cookery,,1914,1914-01-01T00:00:00Z,Internet Archive,https://archive.org/details/americancookery19unse_7,issue_candidate
americancookery19unse_3,american-cookery-magazine,rev2,American cookery,,1914,1914-01-01T00:00:00Z,Internet Archive,https://archive.org/details/americancookery19unse_3,issue_candidate
americancookery19unse_1,american-cookery-magazine,rev2,American cookery,,1914,1914-01-01T00:00:00Z,Internet Archive,https://archive.org/details/americancookery19unse_1,issue_candidate
americancookery19unse_2,american-cookery-magazine,rev2,American cookery,,1914,1914-01-01T00:00:00Z,Internet Archive,https://archive.org/details/americancookery19unse_2,issue_candidate
americancookery19unse_6,american-cookery-magazine,rev2,American cookery,,1914,1914-01-01T00:00:00Z,Internet Archive,https://archive.org/details/americancookery19unse_6,issue_candidate
americancookery0022unse,american-cookery-magazine,rev2,american cookery,,1918,1918-01-01T00:00:00Z,Internet Archive,https://archive.org/details/americancookery0022unse,issue_candidate
americancookery00unkngoog,american-cookery-magazine,rev2,American cookery,,1919,1919-01-01T00:00:00Z,Internet Archive,https://archive.org/details/americancookery00unkngoog,issue_candidate
sim_good-housekeeping_good-housekeeping_1885-09-05_1_9,good-housekeeping-early,rev2,Good Housekeeping 1885-09-05: Vol 1 Iss 9,,1885,1885-09-05T00:00:00Z,Internet Archive,https://archive.org/details/sim_good-housekeeping_good-housekeeping_1885-09-05_1_9,issue_candidate
sim_good-housekeeping_good-housekeeping_1885-10-31_1_13,good-housekeeping-early,rev2,Good Housekeeping 1885-10-31: Vol 1 Iss 13,,1885,1885-10-31T00:00:00Z,Internet Archive,https://archive.org/details/sim_good-housekeeping_good-housekeeping_1885-10-31_1_13,issue_candidate
goodhousekeepin00ebscgoog,good-housekeeping-early,rev2,Good housekeeping,"EBSCO Publishing (Firm), EbscoHost",1885,1885-01-01T00:00:00Z,Internet Archive,https://archive.org/details/goodhousekeepin00ebscgoog,issue_candidate
sim_good-housekeeping_good-housekeeping_1885-07-11_1_5,good-housekeeping-early,rev2,Good Housekeeping 1885-07-11: Vol 1 Iss 5,,1885,1885-07-11T00:00:00Z,Internet Archive,https://archive.org/details/sim_good-housekeeping_good-housekeeping_1885-07-11_1_5,issue_candidate
sim_good-housekeeping_good-housekeeping_1885-08-22_1_8,good-housekeeping-early,rev2,Good Housekeeping 1885-08-22: Vol 1 Iss 8,,1885,1885-08-22T00:00:00Z,Internet Archive,https://archive.org/details/sim_good-housekeeping_good-housekeeping_1885-08-22_1_8,issue_candidate
bub_gb_6roXAQAAMAAJ,good-housekeeping-early,rev2,Good housekeeping,,1885,1885-01-01T00:00:00Z,Internet Archive,https://archive.org/details/bub_gb_6roXAQAAMAAJ,issue_candidate
sim_good-housekeeping_good-housekeeping_1885-12-12_2_3,good-housekeeping-early,rev2,Good Housekeeping 1885-12-12: Vol 2 Iss 3,,1885,1885-12-12T00:00:00Z,Internet Archive,https://archive.org/details/sim_good-housekeeping_good-housekeeping_1885-12-12_2_3,issue_candidate
sim_good-housekeeping_good-housekeeping_1885-06-13_1_3,good-housekeeping-early,rev2,Good Housekeeping 1885-06-13: Vol 1 Iss 3,,1885,1885-06-13T00:00:00Z,Internet Archive,https://archive.org/details/sim_good-housekeeping_good-housekeeping_1885-06-13_1_3,issue_candidate
sim_good-housekeeping_good-housekeeping_1885-10-03_1_11,good-housekeeping-early,rev2,Good Housekeeping 1885-10-03: Vol 1 Iss 11,,1885,1885-10-03T00:00:00Z,Internet Archive,https://archive.org/details/sim_good-housekeeping_good-housekeeping_1885-10-03_1_11,issue_candidate
sim_good-housekeeping_good-housekeeping_november-14-1885-may-1-1886_2_contents,good-housekeeping-early,rev2,"Good Housekeeping November 14, 1885-May 1, 1886: Vol 2 Table of Contents",,1885,1885-11-14T00:00:00Z,Internet Archive,https://archive.org/details/sim_good-housekeeping_good-housekeeping_november-14-1885-may-1-1886_2_contents,issue_candidate
sim_good-housekeeping_good-housekeeping_1885-07-25_1_6,good-housekeeping-early,rev2,Good Housekeeping 1885-07-25: Vol 1 Iss 6,,1885,1885-07-25T00:00:00Z,Internet Archive,https://archive.org/details/sim_good-housekeeping_good-housekeeping_1885-07-25_1_6,issue_candidate
sim_good-housekeeping_good-housekeeping_1885-10-17_1_12,good-housekeeping-early,rev2,Good Housekeeping 1885-10-17: Vol 1 Iss 12,,1885,1885-10-17T00:00:00Z,Internet Archive,https://archive.org/details/sim_good-housekeeping_good-housekeeping_1885-10-17_1_12,issue_candidate
sim_good-housekeeping_good-housekeeping_1885-09-19_1_10,good-housekeeping-early,rev2,Good Housekeeping 1885-09-19: Vol 1 Iss 10,,1885,1885-09-19T00:00:00Z,Internet Archive,https://archive.org/details/sim_good-housekeeping_good-housekeeping_1885-09-19_1_10,issue_candidate
sim_good-housekeeping_good-housekeeping_1885-06-27_1_4,good-housekeeping-early,rev2,Good Housekeeping 1885-06-27: Vol 1 Iss 4,,1885,1885-06-27T00:00:00Z,Internet Archive,https://archive.org/details/sim_good-housekeeping_good-housekeeping_1885-06-27_1_4,issue_candidate
sim_good-housekeeping_good-housekeeping_1885-11-14_2_1,good-housekeeping-early,rev2,Good Housekeeping 1885-11-14: Vol 2 Iss 1,,1885,1885-11-14T00:00:00Z,Internet Archive,https://archive.org/details/sim_good-housekeeping_good-housekeeping_1885-11-14_2_1,issue_candidate
sim_good-housekeeping_good-housekeeping_1885-11-28_2_2,good-housekeeping-early,rev2,Good Housekeeping 1885-11-28: Vol 2 Iss 2,,1885,1885-11-28T00:00:00Z,Internet Archive,https://archive.org/details/sim_good-housekeeping_good-housekeeping_1885-11-28_2_2,issue_candidate
sim_good-housekeeping_good-housekeeping_1885-05-02_1_1,good-housekeeping-early,rev2,Good Housekeeping 1885-05-02: Vol 1 Iss 1,,1885,1885-05-02T00:00:00Z,Internet Archive,https://archive.org/details/sim_good-housekeeping_good-housekeeping_1885-05-02_1_1,issue_candidate
sim_good-housekeeping_good-housekeeping_1885-12-26_2_4,good-housekeeping-early,rev2,Good Housekeeping 1885-12-26: Vol 2 Iss 4,,1885,1885-12-26T00:00:00Z,Internet Archive,https://archive.org/details/sim_good-housekeeping_good-housekeeping_1885-12-26_2_4,issue_candidate
sim_good-housekeeping_good-housekeeping_may-2-1885-october-31-1885_1_contents,good-housekeeping-early,rev2,"Good Housekeeping May 2, 1885-October 31, 1885: Vol 1 Table of Contents",,1885,1885-05-02T00:00:00Z,Internet Archive,https://archive.org/details/sim_good-housekeeping_good-housekeeping_may-2-1885-october-31-1885_1_contents,issue_candidate
sim_good-housekeeping_good-housekeeping_1885-08-08_1_7,good-housekeeping-early,rev2,Good Housekeeping 1885-08-08: Vol 1 Iss 7,,1885,1885-08-08T00:00:00Z,Internet Archive,https://archive.org/details/sim_good-housekeeping_good-housekeeping_1885-08-08_1_7,issue_candidate
sim_good-housekeeping_good-housekeeping_1885-05-30_1_2,good-housekeeping-early,rev2,Good Housekeeping 1885-05-30: Vol 1 Iss 2,,1885,1885-05-30T00:00:00Z,Internet Archive,https://archive.org/details/sim_good-housekeeping_good-housekeeping_1885-05-30_1_2,issue_candidate
